Year,Month,Year Month,Age Group,Reference Doses Date,Ever Vaccinated,Never Vaccinated,Deaths ever vaccinated,Deaths never vaccinated,Deaths per 10000 ever vaccinated,Deaths per 10000 never vaccinated
2023,04,2023-04,21-40,2023-04-05,1372951,121687,67,12,0.49,0.99
2023,04,2023-04,41-60,2023-04-05,1196827,115685,249,35,2.08,3.03
2023,04,2023-04,61-80,2023-04-05,914406,44165,1041,71,11.38,16.08
2023,04,2023-04,81+,2023-04-05,193931,2367,1465,47,75.54,198.56
2023,05,2023-05,0-20,2023-05-03,428608,935216,14,11,0.33,0.12
2023,05,2023-05,21-40,2023-05-03,1373284,121275,67,18,0.49,1.48
2023,05,2023-05,41-60,2023-05-03,1197107,115121,268,48,2.24,4.17
2023,05,2023-05,61-80,2023-05-03,915674,41785,1073,89,11.72,21.3
2023,05,2023-05,81+,2023-05-03,192783,2003,1545,58,80.14,289.57
2023,06,2023-06,0-20,2023-06-03,428594,935205,12,14,0.28,0.15
2023,06,2023-06,21-40,2023-06-03,1373217,121257,72,16,0.52,1.32
2023,06,2023-06,41-60,2023-06-03,1196839,115073,262,26,2.19,2.26
2023,06,2023-06,61-80,2023-06-03,914601,41696,1151,68,12.58,16.31
2023,06,2023-06,81+,2023-06-03,191238,1945,1521,62,79.53,318.77
2023,07,2023-07,0-20,2023-07-03,428582,935191,4,13,0.09,0.14
2023,07,2023-07,21-40,2023-07-03,1373145,121241,67,17,0.49,1.4
2023,07,2023-07,41-60,2023-07-03,1196577,115047,300,40,2.51,3.48
2023,07,2023-07,61-80,2023-07-03,913450,41628,1166,90,12.76,21.62
2023,07,2023-07,81+,2023-07-03,189717,1883,1638,53,86.34,281.47
2023,08,2023-08,0-20,2023-08-03,428578,935178,10,12,0.23,0.13
2023,08,2023-08,21-40,2023-08-03,1373078,121224,72,20,0.52,1.65
2023,08,2023-08,41-60,2023-08-03,1196277,115007,275,39,2.3,3.39
2023,08,2023-08,61-80,2023-08-03,912284,41538,1133,91,12.42,21.91
2023,08,2023-08,81+,2023-08-03,188079,1830,1676,62,89.11,338.8
2023,09,2023-09,0-20,2023-09-03,428568,935166,14,7,0.33,0.07
2023,09,2023-09,21-40,2023-09-03,1373006,121204,63,17,0.46,1.4
2023,09,2023-09,41-60,2023-09-03,1196002,114968,303,37,2.53,3.22
2023,09,2023-09,61-80,2023-09-03,911151,41447,1105,79,12.13,19.06
2023,09,2023-09,81+,2023-09-03,186403,1768,1643,61,88.14,345.02
2023,10,2023-10,0-20,2023-10-03,428554,935159,14,15,0.33,0.16
2023,10,2023-10,21-40,2023-10-03,1372943,121187,71,14,0.52,1.16
2023,10,2023-10,41-60,2023-10-03,1195699,114931,255,44,2.13,3.83
2023,10,2023-10,61-80,2023-10-03,910046,41368,1141,72,12.54,17.4
2023,10,2023-10,81+,2023-10-03,184760,1707,1531,66,82.86,386.64
2023,11,2023-11,0-20,2023-11-03,428540,935144,16,5,0.37,0.05
2023,11,2023-11,21-40,2023-11-03,1372872,121173,59,18,0.43,1.49
2023,11,2023-11,41-60,2023-11-03,1195444,114887,229,36,1.92,3.13
2023,11,2023-11,61-80,2023-11-03,908905,41296,1079,67,11.87,16.22
2023,11,2023-11,81+,2023-11-03,183229,1641,1492,53,81.43,322.97
