Month of Death,Age at death,Last COVID-19 dose number,Days between last vaccination and death,Count
2021-11,41 to 60,1,<= 30,21
2021-11,41 to 60,1,<= 90,20
2021-11,41 to 60,2,<= 180,42
2021-11,41 to 60,2,<= 30,37
2021-11,41 to 60,2,<= 365,<5
2021-11,41 to 60,2,<= 90,90
2021-11,61 to 80,0,N/A,165
2021-11,61 to 80,1,<= 180,12
2021-11,61 to 80,1,<= 30,36
2021-11,61 to 80,1,<= 365,<5
2021-11,61 to 80,1,<= 90,49
2021-11,61 to 80,2,<= 180,412
2021-11,61 to 80,2,<= 30,83
2021-11,61 to 80,2,<= 365,24
2021-11,61 to 80,2,<= 90,261
2021-11,61 to 80,3,<= 30,<5
2021-11,61 to 80,3,<= 90,<5
2021-11,81 to 100,0,N/A,156
2021-11,81 to 100,1,<= 180,9
2021-11,81 to 100,1,<= 30,32
2021-11,81 to 100,1,<= 365,<5
2021-11,81 to 100,1,<= 90,29
2021-11,81 to 100,2,<= 180,730
2021-11,81 to 100,2,<= 30,71
2021-11,81 to 100,2,<= 365,54
2021-11,81 to 100,2,<= 90,253
2021-12,0 to 20,0,N/A,72
2021-12,0 to 20,1,<= 30,<5
2021-12,0 to 20,2,<= 180,<5
2021-12,0 to 20,2,<= 30,<5
2021-12,0 to 20,2,<= 90,5
2021-12,100+,0,N/A,<5
2021-12,100+,1,<= 30,<5
2021-12,100+,2,<= 180,10
2021-12,100+,2,<= 365,<5
2021-12,100+,2,<= 90,<5
2021-12,21 to 40,0,N/A,30
2021-12,21 to 40,1,<= 180,<5
2021-12,21 to 40,1,<= 30,7
2021-12,21 to 40,1,<= 90,<5
2021-12,21 to 40,2,<= 180,9
2021-12,21 to 40,2,<= 30,15
2021-12,21 to 40,2,<= 90,25
2021-12,21 to 40,3,<= 30,<5
2021-12,41 to 60,0,N/A,47
2021-12,41 to 60,1,<= 180,<5
2021-12,41 to 60,1,<= 30,9
2021-12,41 to 60,1,<= 90,15
2021-12,41 to 60,2,<= 180,76
2021-12,41 to 60,2,<= 30,24
2021-12,41 to 60,2,<= 365,14
2021-12,41 to 60,2,<= 90,92
2021-12,41 to 60,3,<= 30,9
2021-12,41 to 60,3,<= 90,<5
2021-12,61 to 80,0,N/A,148
2021-12,61 to 80,1,<= 180,7
2021-12,61 to 80,1,<= 30,19
2021-12,61 to 80,1,<= 90,22
2021-12,61 to 80,2,<= 180,472
2021-12,61 to 80,2,<= 30,42
2021-12,61 to 80,2,<= 365,91
2021-12,61 to 80,2,<= 90,204
2021-12,61 to 80,3,<= 30,69
2021-12,61 to 80,3,<= 90,14
2021-12,81 to 100,0,N/A,118
2021-12,81 to 100,1,<= 180,<5
2021-12,81 to 100,1,<= 30,17
2021-12,81 to 100,1,<= 365,5
2021-12,81 to 100,1,<= 90,20
2021-12,81 to 100,2,<= 180,662
2021-12,81 to 100,2,<= 30,35
2021-12,81 to 100,2,<= 365,213
2021-12,81 to 100,2,<= 90,142
2021-12,81 to 100,3,<= 30,119
